Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED
1.490000000000000000e+02,nan,nan,nan
1.500000000000000000e+02,nan,nan,nan
1.510000000000000000e+02,1.000000000000000000e+02,8.570000000000000000e+02,nan
1.520000000000000000e+02,nan,nan,nan
1.530000000000000000e+02,1.140000000000000000e+02,1.543500000000000000e+03,9.000000000000000000e+00
1.540000000000000000e+02,nan,nan,nan
1.550000000000000000e+02,1.350000000000000000e+02,1.775000000000000000e+03,1.900000000000000000e+01
1.560000000000000000e+02,nan,nan,nan
1.570000000000000000e+02,1.370000000000000000e+02,1.871000000000000000e+03,2.800000000000000000e+01
1.580000000000000000e+02,nan,nan,nan
1.590000000000000000e+02,nan,1.490000000000000000e+03,3.400000000000000000e+01
1.600000000000000000e+02,nan,nan,nan
1.610000000000000000e+02,1.070000000000000000e+02,1.550000000000000000e+03,3.600000000000000000e+01
1.620000000000000000e+02,nan,nan,3.700000000000000000e+01
1.630000000000000000e+02,1.100000000000000000e+02,1.602500000000000000e+03,nan
1.640000000000000000e+02,nan,nan,nan
1.650000000000000000e+02,1.040000000000000000e+02,1.588500000000000000e+03,nan
1.660000000000000000e+02,nan,nan,nan
1.670000000000000000e+02,1.080000000000000000e+02,1.629000000000000000e+03,nan
1.680000000000000000e+02,nan,nan,nan
1.690000000000000000e+02,1.050000000000000000e+02,nan,nan
1.700000000000000000e+02,nan,nan,3.800000000000000000e+01
1.710000000000000000e+02,nan,1.634000000000000000e+03,nan
1.720000000000000000e+02,nan,1.724000000000000000e+03,4.000000000000000000e+01
1.730000000000000000e+02,1.100000000000000000e+02,nan,nan
1.740000000000000000e+02,nan,1.843500000000000000e+03,4.100000000000000000e+01
1.750000000000000000e+02,nan,nan,nan
1.760000000000000000e+02,1.090000000000000000e+02,1.554500000000000000e+03,4.300000000000000000e+01
1.770000000000000000e+02,nan,nan,nan
1.780000000000000000e+02,1.060000000000000000e+02,1.559000000000000000e+03,nan
1.790000000000000000e+02,nan,nan,nan
1.800000000000000000e+02,1.090000000000000000e+02,1.436500000000000000e+03,4.400000000000000000e+01
1.810000000000000000e+02,nan,nan,nan
1.820000000000000000e+02,1.050000000000000000e+02,1.511000000000000000e+03,4.500000000000000000e+01
1.830000000000000000e+02,nan,nan,nan
1.840000000000000000e+02,1.060000000000000000e+02,1.378500000000000000e+03,nan
1.850000000000000000e+02,nan,nan,nan
1.860000000000000000e+02,9.700000000000000000e+01,1.292500000000000000e+03,4.100000000000000000e+01
1.870000000000000000e+02,nan,nan,nan
1.880000000000000000e+02,1.070000000000000000e+02,1.559000000000000000e+03,3.600000000000000000e+01
1.890000000000000000e+02,nan,nan,nan
1.900000000000000000e+02,1.140000000000000000e+02,1.658500000000000000e+03,3.800000000000000000e+01
1.910000000000000000e+02,nan,nan,3.900000000000000000e+01
1.920000000000000000e+02,1.060000000000000000e+02,1.694500000000000000e+03,nan
1.930000000000000000e+02,nan,nan,4.000000000000000000e+01
1.940000000000000000e+02,1.070000000000000000e+02,1.728000000000000000e+03,nan
1.950000000000000000e+02,nan,1.381500000000000000e+03,4.200000000000000000e+01
1.960000000000000000e+02,1.100000000000000000e+02,nan,nan
1.970000000000000000e+02,1.170000000000000000e+02,1.472500000000000000e+03,4.300000000000000000e+01
1.980000000000000000e+02,nan,nan,nan
1.990000000000000000e+02,1.150000000000000000e+02,1.520000000000000000e+03,4.600000000000000000e+01
2.000000000000000000e+02,nan,nan,nan
2.010000000000000000e+02,nan,1.505500000000000000e+03,4.700000000000000000e+01
2.020000000000000000e+02,1.060000000000000000e+02,nan,nan
2.030000000000000000e+02,1.090000000000000000e+02,1.503500000000000000e+03,nan
2.040000000000000000e+02,nan,nan,nan
2.050000000000000000e+02,1.040000000000000000e+02,1.504500000000000000e+03,nan
2.060000000000000000e+02,nan,nan,nan
2.070000000000000000e+02,nan,1.507500000000000000e+03,4.600000000000000000e+01
2.080000000000000000e+02,nan,nan,nan
2.090000000000000000e+02,nan,1.498500000000000000e+03,nan
2.100000000000000000e+02,nan,nan,nan
2.110000000000000000e+02,1.020000000000000000e+02,1.490500000000000000e+03,nan
2.120000000000000000e+02,nan,nan,nan
2.130000000000000000e+02,9.800000000000000000e+01,1.354000000000000000e+03,4.200000000000000000e+01
2.140000000000000000e+02,nan,nan,nan
2.150000000000000000e+02,9.700000000000000000e+01,1.169500000000000000e+03,3.700000000000000000e+01
2.160000000000000000e+02,nan,nan,nan
2.170000000000000000e+02,nan,1.384000000000000000e+03,3.200000000000000000e+01
2.180000000000000000e+02,nan,nan,3.000000000000000000e+01
2.190000000000000000e+02,1.010000000000000000e+02,1.300000000000000000e+03,nan
2.200000000000000000e+02,nan,nan,2.700000000000000000e+01
2.210000000000000000e+02,9.800000000000000000e+01,1.157500000000000000e+03,nan
2.220000000000000000e+02,nan,9.760000000000000000e+02,2.200000000000000000e+01
2.230000000000000000e+02,1.030000000000000000e+02,nan,nan
2.240000000000000000e+02,1.310000000000000000e+02,1.687500000000000000e+03,2.600000000000000000e+01
2.250000000000000000e+02,nan,nan,nan
2.260000000000000000e+02,1.140000000000000000e+02,1.329000000000000000e+03,3.100000000000000000e+01
2.270000000000000000e+02,nan,nan,nan
