# Time,raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
5.920000000000000000e+02,1.478500000000000000e+03,4.600000000000000000e+01,1.558333333333333258e+03,4.733333333333332149e+01,-2.085000000000000000e+02,-3.540000000000000000e+02,-6.000000000000000000e+00,-1.000000000000000000e+01
5.930000000000000000e+02,1.478500000000000000e+03,4.600000000000000000e+01,1.567875000000000000e+03,4.758333333333332860e+01,0.000000000000000000e+00,2.085000000000000000e+02,0.000000000000000000e+00,6.000000000000000000e+00
5.940000000000000000e+02,1.683000000000000000e+03,4.300000000000000000e+01,1.590791666666666742e+03,4.841666666666665719e+01,2.045000000000000000e+02,2.045000000000000000e+02,-3.000000000000000000e+00,-3.000000000000000000e+00
5.950000000000000000e+02,1.521000000000000000e+03,4.700000000000000000e+01,1.619416666666666515e+03,4.933333333333332860e+01,-1.620000000000000000e+02,-3.665000000000000000e+02,4.000000000000000000e+00,7.000000000000000000e+00
5.960000000000000000e+02,1.521000000000000000e+03,4.700000000000000000e+01,1.643458333333333258e+03,5.008333333333332860e+01,0.000000000000000000e+00,1.620000000000000000e+02,0.000000000000000000e+00,-4.000000000000000000e+00
5.970000000000000000e+02,1.663500000000000000e+03,5.100000000000000000e+01,1.661541666666666742e+03,5.066666666666667140e+01,1.425000000000000000e+02,1.425000000000000000e+02,4.000000000000000000e+00,4.000000000000000000e+00
5.980000000000000000e+02,1.663500000000000000e+03,5.100000000000000000e+01,1.667500000000000000e+03,5.091666666666667140e+01,0.000000000000000000e+00,-1.425000000000000000e+02,0.000000000000000000e+00,-4.000000000000000000e+00
5.990000000000000000e+02,1.824000000000000000e+03,5.600000000000000000e+01,1.690166666666666742e+03,5.158333333333333570e+01,1.605000000000000000e+02,1.605000000000000000e+02,5.000000000000000000e+00,5.000000000000000000e+00
6.000000000000000000e+02,1.830000000000000000e+03,5.700000000000000000e+01,1.715625000000000227e+03,5.233333333333333570e+01,6.000000000000000000e+00,-1.545000000000000000e+02,1.000000000000000000e+00,-4.000000000000000000e+00
6.010000000000000000e+02,1.830000000000000000e+03,5.700000000000000000e+01,1.724041666666666970e+03,5.333333333333334281e+01,0.000000000000000000e+00,-6.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00
6.020000000000000000e+02,1.758500000000000000e+03,5.500000000000000000e+01,1.752166666666666742e+03,5.416666666666667140e+01,-7.150000000000000000e+01,-7.150000000000000000e+01,-2.000000000000000000e+00,-2.000000000000000000e+00
6.030000000000000000e+02,1.758500000000000000e+03,5.500000000000000000e+01,1.780291666666666742e+03,5.516666666666666430e+01,0.000000000000000000e+00,7.150000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00
6.040000000000000000e+02,1.750500000000000000e+03,5.400000000000000000e+01,1.756250000000000000e+03,5.583333333333332860e+01,-8.000000000000000000e+00,-8.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
6.050000000000000000e+02,1.784000000000000000e+03,5.500000000000000000e+01,1.732958333333333258e+03,5.649999999999999289e+01,3.350000000000000000e+01,4.150000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00
6.060000000000000000e+02,1.784000000000000000e+03,5.500000000000000000e+01,1.696291666666666288e+03,5.666666666666665719e+01,0.000000000000000000e+00,-3.350000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00
6.070000000000000000e+02,1.858500000000000000e+03,5.700000000000000000e+01,1.658541666666666288e+03,5.674999999999999289e+01,7.450000000000000000e+01,7.450000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00
6.080000000000000000e+02,1.858500000000000000e+03,5.900000000000000000e+01,1.620791666666666288e+03,5.641666666666666430e+01,0.000000000000000000e+00,-7.450000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
6.090000000000000000e+02,1.375000000000000000e+03,5.900000000000000000e+01,1.589541666666666515e+03,5.624999999999999289e+01,-4.835000000000000000e+02,-4.835000000000000000e+02,0.000000000000000000e+00,-2.000000000000000000e+00
