# Time,raw_RPM,raw_SPEED
3.300000000000000000e+02,nan,nan
3.310000000000000000e+02,1.262000000000000000e+03,2.900000000000000000e+01
3.320000000000000000e+02,nan,nan
3.330000000000000000e+02,1.344500000000000000e+03,3.100000000000000000e+01
3.340000000000000000e+02,nan,nan
3.350000000000000000e+02,1.342500000000000000e+03,nan
3.360000000000000000e+02,nan,3.200000000000000000e+01
3.370000000000000000e+02,1.399500000000000000e+03,nan
3.380000000000000000e+02,1.535500000000000000e+03,3.500000000000000000e+01
3.390000000000000000e+02,nan,nan
3.400000000000000000e+02,1.536000000000000000e+03,nan
3.410000000000000000e+02,nan,nan
3.420000000000000000e+02,1.423500000000000000e+03,3.200000000000000000e+01
3.430000000000000000e+02,nan,nan
3.440000000000000000e+02,1.523500000000000000e+03,3.500000000000000000e+01
3.450000000000000000e+02,nan,nan
3.460000000000000000e+02,1.773000000000000000e+03,4.000000000000000000e+01
3.470000000000000000e+02,nan,nan
3.480000000000000000e+02,1.520500000000000000e+03,4.500000000000000000e+01
3.490000000000000000e+02,nan,nan
3.500000000000000000e+02,1.587000000000000000e+03,4.900000000000000000e+01
3.510000000000000000e+02,nan,nan
3.520000000000000000e+02,1.691000000000000000e+03,5.200000000000000000e+01
3.530000000000000000e+02,nan,nan
3.540000000000000000e+02,1.705000000000000000e+03,5.300000000000000000e+01
3.550000000000000000e+02,nan,nan
3.560000000000000000e+02,1.717000000000000000e+03,nan
3.570000000000000000e+02,nan,nan
3.580000000000000000e+02,1.751500000000000000e+03,5.400000000000000000e+01
3.590000000000000000e+02,nan,5.500000000000000000e+01
3.600000000000000000e+02,1.755500000000000000e+03,nan
3.610000000000000000e+02,nan,5.400000000000000000e+01
3.620000000000000000e+02,1.745500000000000000e+03,nan
3.630000000000000000e+02,1.639500000000000000e+03,5.100000000000000000e+01
3.640000000000000000e+02,nan,nan
3.650000000000000000e+02,1.543000000000000000e+03,4.800000000000000000e+01
3.660000000000000000e+02,nan,nan
3.670000000000000000e+02,1.488500000000000000e+03,4.600000000000000000e+01
3.680000000000000000e+02,nan,nan
3.690000000000000000e+02,1.614000000000000000e+03,5.000000000000000000e+01
3.700000000000000000e+02,nan,nan
3.710000000000000000e+02,1.705000000000000000e+03,5.300000000000000000e+01
3.720000000000000000e+02,nan,nan
3.730000000000000000e+02,1.768000000000000000e+03,5.500000000000000000e+01
3.740000000000000000e+02,nan,nan
3.750000000000000000e+02,1.872500000000000000e+03,5.800000000000000000e+01
3.760000000000000000e+02,nan,nan
3.770000000000000000e+02,2.025000000000000000e+03,6.200000000000000000e+01
3.780000000000000000e+02,nan,nan
3.790000000000000000e+02,1.605000000000000000e+03,6.700000000000000000e+01
3.800000000000000000e+02,nan,nan
3.810000000000000000e+02,1.652000000000000000e+03,7.000000000000000000e+01
3.820000000000000000e+02,nan,nan
3.830000000000000000e+02,1.627500000000000000e+03,6.900000000000000000e+01
3.840000000000000000e+02,nan,nan
3.850000000000000000e+02,1.621500000000000000e+03,nan
3.860000000000000000e+02,nan,nan
3.870000000000000000e+02,1.620500000000000000e+03,nan
3.880000000000000000e+02,nan,6.800000000000000000e+01
3.890000000000000000e+02,nan,nan
